"","X.node1","node2","node1_string_id","node2_string_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"138","E2F8","TTK","9606.ENSP00000250024","9606.ENSP00000358813",0,0,0,0,0.661,0,0,0,0.661
"139","ELANE","GZMB","9606.ENSP00000466090","9606.ENSP00000216341",0,0,0,0.804,0.06,0.601,0,0,0.608
"140","ELANE","MMP7","9606.ENSP00000466090","9606.ENSP00000260227",0,0,0,0,0.055,0,0.4,0,0.408
"141","ELANE","RNASE3","9606.ENSP00000466090","9606.ENSP00000302324",0,0,0,0,0.778,0,0,0,0.778
"142","ELANE","RNASE2","9606.ENSP00000466090","9606.ENSP00000303276",0,0,0,0,0.434,0,0,0,0.434
"143","ELANE","MMP1","9606.ENSP00000466090","9606.ENSP00000322788",0,0,0,0,0.055,0,0.4,0,0.408
"144","EPS8L2","GSN","9606.ENSP00000435585","9606.ENSP00000362924",0,0,0,0,0.042,0,0.8,0,0.8
"145","ERCC6L","TTK","9606.ENSP00000334675","9606.ENSP00000358813",0,0,0,0,0.696,0.067,0,0,0.704
"146","ESCO2","TTK","9606.ENSP00000306999","9606.ENSP00000358813",0,0,0,0,0.648,0,0,0,0.648
"147","EXO1","TTK","9606.ENSP00000355506","9606.ENSP00000358813",0,0,0,0,0.833,0,0,0,0.833
"148","FCGR1A","FCGR2A","9606.ENSP00000358165","9606.ENSP00000271450",0,0,0,0.801,0.238,0,0.4,0,0.523
"149","FCGR1A","FCGR3A","9606.ENSP00000358165","9606.ENSP00000356946",0,0,0,0.772,0.378,0.393,0.4,0,0.753
"150","FCGR2A","FPR1","9606.ENSP00000271450","9606.ENSP00000471493",0,0,0,0,0.452,0,0,0,0.452
"151","FCGR2A","FCGR3A","9606.ENSP00000271450","9606.ENSP00000356946",0,0,0,0.834,0.301,0,0.4,0,0.562
"152","FCGR3A","TLR2","9606.ENSP00000356946","9606.ENSP00000260010",0,0,0,0,0.433,0,0,0,0.433
"153","FCGR3A","SIRPG","9606.ENSP00000356946","9606.ENSP00000305529",0,0,0,0,0.163,0.41,0,0,0.485
"154","FCGR3A","TLR8","9606.ENSP00000356946","9606.ENSP00000312082",0,0,0,0,0.42,0,0,0,0.42
"155","FCGR3A","SIRPD","9606.ENSP00000356946","9606.ENSP00000371036",0,0,0,0,0.178,0.41,0,0,0.494
"156","FCGR3A","FPR1","9606.ENSP00000356946","9606.ENSP00000471493",0,0,0,0,0.415,0,0,0,0.415
"157","FCGR3A","GK","9606.ENSP00000356946","9606.ENSP00000401720",0,0,0,0,0,0.619,0,0,0.619
"158","FCN1","S100A8","9606.ENSP00000360871","9606.ENSP00000357721",0,0,0,0,0.42,0,0,0,0.42
"159","FCN1","S100A9","9606.ENSP00000360871","9606.ENSP00000357727",0,0,0,0,0.464,0.233,0,0,0.572
"160","FLG","FLG2","9606.ENSP00000357789","9606.ENSP00000373370",0,0,0,0.556,0.689,0.238,0,0,0.753
"161","FLG2","KRT2","9606.ENSP00000373370","9606.ENSP00000310861",0,0,0,0,0.529,0.099,0,0,0.558
"162","FLG2","SERPINA12","9606.ENSP00000373370","9606.ENSP00000342109",0,0,0,0,0.711,0,0,0,0.711
"163","FLG2","KRT77","9606.ENSP00000373370","9606.ENSP00000342710",0,0,0,0,0.431,0.099,0,0,0.466
"164","FLG2","KPRP","9606.ENSP00000373370","9606.ENSP00000475216",0,0,0,0,0.208,0.299,0,0,0.422
"165","FPR1","S100A8","9606.ENSP00000471493","9606.ENSP00000357721",0,0,0,0,0.401,0.045,0,0,0.404
"166","FPR1","S100A9","9606.ENSP00000471493","9606.ENSP00000357727",0,0,0,0,0.459,0.045,0,0,0.461
"167","GPR183","IGLL5","9606.ENSP00000365596","9606.ENSP00000431254",0,0,0,0,0.117,0.602,0,0,0.633
"168","GSN","LYZ","9606.ENSP00000362924","9606.ENSP00000261267",0,0,0,0,0.098,0,0.4,0,0.435
"169","GSN","PLEKHG6","9606.ENSP00000362924","9606.ENSP00000380185",0,0,0,0,0.047,0.456,0,0,0.459
"170","GZMB","LMNB1","9606.ENSP00000216341","9606.ENSP00000261366",0,0,0,0,0.043,0.046,0.9,0,0.9
"171","H4C6","LMNB1","9606.ENSP00000244537","9606.ENSP00000261366",0,0,0,0,0.064,0.422,0,0,0.435
"172","HAMP","IGLL5","9606.ENSP00000471894","9606.ENSP00000431254",0,0,0,0,0,0.967,0,0,0.967
"173","HBA1","HBB","9606.ENSP00000322421","9606.ENSP00000494175",0,0,0,0.897,0.999,0.973,0.72,0,0.999
"174","HBA2","HBB","9606.ENSP00000251595","9606.ENSP00000494175",0,0,0,0.897,0.686,0.998,0.9,0,0.999
"175","HBB","HBQ1","9606.ENSP00000494175","9606.ENSP00000199708",0,0,0,0.863,0.257,0.774,0.54,0,0.916
"176","HBB","HBM","9606.ENSP00000494175","9606.ENSP00000349270",0,0,0,0.84,0.399,0.761,0.54,0,0.928
"177","HJURP","TTK","9606.ENSP00000414109","9606.ENSP00000358813",0,0,0,0,0.801,0,0,0,0.801
"178","HMMR","TTK","9606.ENSP00000377492","9606.ENSP00000358813",0,0,0,0,0.798,0.099,0,0,0.81
"179","HS6ST3","SDC1","9606.ENSP00000365895","9606.ENSP00000370542",0,0,0,0,0,0,0.4,0,0.4
"180","IGF2","IGFBP5","9606.ENSP00000391826","9606.ENSP00000233813",0,0,0,0,0.192,0.421,0.5,0,0.745
"181","IGF2","IGFBP6","9606.ENSP00000391826","9606.ENSP00000301464",0,0,0,0,0.126,0.421,0.7,0,0.834
"182","IGF2","MMP1","9606.ENSP00000391826","9606.ENSP00000322788",0,0,0,0,0.117,0,0.4,0,0.447
"183","IGF2","IGLL5","9606.ENSP00000391826","9606.ENSP00000431254",0,0,0,0,0,0.602,0,0,0.602
"184","IGFBP5","IGFBP6","9606.ENSP00000233813","9606.ENSP00000301464",0,0,0,0.839,0.067,0,0.54,0,0.552
"185","IGLL5","TNFRSF17","9606.ENSP00000431254","9606.ENSP00000053243",0,0,0,0,0.143,0.602,0,0,0.644
"186","IGLL5","IL2","9606.ENSP00000431254","9606.ENSP00000226730",0,0,0,0,0.051,0.9,0,0,0.901
"187","IGLL5","TNFRSF13C","9606.ENSP00000431254","9606.ENSP00000291232",0,0,0,0,0.133,0.602,0,0,0.64
"188","IGLL5","MAPT","9606.ENSP00000431254","9606.ENSP00000340820",0,0,0,0,0,0.967,0,0,0.967
"189","IGLL5","KCNA3","9606.ENSP00000431254","9606.ENSP00000358784",0,0,0,0,0.099,0.8,0,0,0.812
"190","IGLL5","TNFSF13B","9606.ENSP00000431254","9606.ENSP00000365048",0,0,0,0,0.08,0.9,0,0,0.904
"191","IGLL5","IL6","9606.ENSP00000431254","9606.ENSP00000385675",0,0,0,0,0,0.9,0,0,0.9
"192","IGLL5","MS4A1","9606.ENSP00000431254","9606.ENSP00000433277",0,0,0,0,0.337,0.602,0,0,0.724
"193","IL10","LBP","9606.ENSP00000412237","9606.ENSP00000217407",0,0,0,0,0,0,0.4,0,0.4
"194","IL10","MMP3","9606.ENSP00000412237","9606.ENSP00000299855",0,0,0,0,0,0,0.4,0,0.4
"195","IL10","MMP1","9606.ENSP00000412237","9606.ENSP00000322788",0,0,0,0,0.054,0,0.4,0,0.408
"196","IL6","LBP","9606.ENSP00000385675","9606.ENSP00000217407",0,0,0,0,0.1,0,0.4,0,0.437
"197","IL6","MMP3","9606.ENSP00000385675","9606.ENSP00000299855",0,0,0,0,0.16,0,0.4,0,0.475
"198","IL6","MMP1","9606.ENSP00000385675","9606.ENSP00000322788",0,0,0,0,0.169,0,0.4,0,0.48
"199","IL7R","TFRC","9606.ENSP00000306157","9606.ENSP00000376197",0,0,0,0,0,0,0.4,0,0.4
"200","ITGA4","LAMA5","9606.ENSP00000380227","9606.ENSP00000252999",0,0,0,0,0.054,0.1,0.65,0,0.676
"201","ITGA4","SPP1","9606.ENSP00000380227","9606.ENSP00000378517",0,0,0,0,0.068,0,0.9,0,0.902
"202","ITGA4","TNXB","9606.ENSP00000380227","9606.ENSP00000407685",0,0,0,0,0,0,0.65,0,0.65
"203","ITGB6","LAMA5","9606.ENSP00000283249","9606.ENSP00000252999",0,0,0,0,0.062,0.07,0.65,0,0.668
"204","ITGB6","SPP1","9606.ENSP00000283249","9606.ENSP00000378517",0,0,0,0,0.042,0,0.65,0,0.65
"205","ITGB6","TNXB","9606.ENSP00000283249","9606.ENSP00000407685",0,0,0,0,0.055,0,0.9,0,0.901
"206","KCNIP3","SOD3","9606.ENSP00000295225","9606.ENSP00000371554",0,0,0,0,0.086,0.471,0,0,0.496
"207","KIF15","TTK","9606.ENSP00000324020","9606.ENSP00000358813",0,0,0,0,0.896,0,0,0,0.896
"208","KIF18A","TTK","9606.ENSP00000263181","9606.ENSP00000358813",0,0,0,0,0.88,0,0,0,0.88
"209","KIF20A","LMNB1","9606.ENSP00000378356","9606.ENSP00000261366",0,0,0,0,0.365,0.292,0,0,0.531
"210","KIF20A","TTK","9606.ENSP00000378356","9606.ENSP00000358813",0,0,0,0,0.846,0,0,0,0.846
"211","KIF2C","TTK","9606.ENSP00000361298","9606.ENSP00000358813",0,0,0,0,0.904,0,0,0,0.904
"212","KIF4A","TTK","9606.ENSP00000363524","9606.ENSP00000358813",0,0,0,0,0.856,0,0,0,0.856
"213","KRT1","KRT5","9606.ENSP00000252244","9606.ENSP00000252242",0,0,0,0.962,0.095,0.79,0.4,0,0.876
"214","KRT1","KRT78","9606.ENSP00000252244","9606.ENSP00000306261",0,0,0,0.93,0.086,0,0.4,0,0.428
"215","KRT1","KRT73","9606.ENSP00000252244","9606.ENSP00000307014",0,0,0,0.949,0.117,0.045,0.4,0,0.449
"216","KRT1","SLC4A1","9606.ENSP00000252244","9606.ENSP00000262418",0,0,0,0,0.417,0,0,0,0.417
"217","KRT1","KRT15","9606.ENSP00000252244","9606.ENSP00000377546",0,0,0,0.802,0.076,0.433,0,0,0.454
"218","KRT1","KRT6A","9606.ENSP00000252244","9606.ENSP00000369317",0,0,0,0.961,0.092,0,0.4,0,0.432
"219","KRT1","KRT77","9606.ENSP00000252244","9606.ENSP00000342710",0,0,0,0.962,0.138,0.762,0.4,0,0.866
"220","KRT1","KRT2","9606.ENSP00000252244","9606.ENSP00000310861",0,0,0,0.964,0.336,0.835,0.4,0,0.928
"221","KRT15","KRT2","9606.ENSP00000377546","9606.ENSP00000310861",0,0,0,0.784,0.113,0.433,0,0,0.475
