"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC284454",284.404330747773,-2.23220263251227,0.228301266147351,-9.77744306977062,1.40720598807667e-22,1.04288997790518e-21
"RP11-65J3.2:ENSG00000226355",1.16764795220822,-2.23239686653678,0.451895052465043,-4.94007813176815,7.80912733747272e-07,1.91122133292604e-06
"PRR22",19.0633588938925,-2.23259422038389,0.20727656303301,-10.7710885770927,4.71394363039528e-27,4.73132570710856e-26
"DQ583756",1.97229727818503,-2.23266737193821,0.430679594846186,-5.1840565437877,2.17111063652583e-07,5.54785230202856e-07
"TMEM259",1579.44241274085,-2.23351179869914,0.142519579300737,-15.6716137505999,2.36497611071464e-55,1.76787258998555e-53
"RP11-2C24.4:ENSG00000260899",11.7383258250271,-2.23355998321054,0.435063775441422,-5.13386797359614,2.83847249375804e-07,7.18352988263656e-07
"TMEM132D",0.928496271963693,-2.23454835594737,0.903312527903357,-2.47372674121314,0.0133711925555234,0.0211531086676349
"CEACAM16",0.816947490474707,-2.23462592012909,0.614299158432422,-3.63768351210418,0.00027510117409928,0.000535365527027834
"DDX11L5",1.12868492821851,-2.23487053789486,0.867135872795479,-2.57730144491667,0.00995750706081766,0.0160574339504795
"RNF112",76.8767890238191,-2.23503601046777,0.224357970263472,-9.96191937305853,2.23701567160166e-23,1.74460748826685e-22
"FAM53A",25.5564315493793,-2.23547354148445,0.172024026581768,-12.9951239132393,1.3039639555679e-38,2.83946655437664e-37
"AMDHD2",366.65871233705,-2.23687751537474,0.142970761150781,-15.6456991441464,3.55444018566779e-55,2.58000843853602e-53
"SP5",0.846893514027133,-2.237569013668,0.774728755354489,-2.88819667296868,0.0038745752678939,0.00659554849150968
"ZNF707",253.043310336177,-2.23936495847991,0.14197036799051,-15.7734673099502,4.73759429071521e-56,3.71908577517524e-54
"IGFBP5",25037.8493502698,-2.24052103871157,0.24850263392279,-9.01608567822141,1.94929969229834e-19,1.15673845721647e-18
"CHRNB2",4.55234435212342,-2.24059022352125,0.553542847535871,-4.0477268083137,5.17174589091829e-05,0.00010797970702049
"ABCA2",1319.46641340359,-2.24147423724986,0.162341035911512,-13.8071943711855,2.30640769166513e-43,7.11293859786679e-42
"MZF1",461.530368848058,-2.24184526516106,0.132037363021938,-16.978870327701,1.17730379161418e-64,1.91441828244172e-62
"AX746487",9.30389427820605,-2.24262912313745,0.437379260273822,-5.12742447306131,2.93732755261796e-07,7.42545493364212e-07
"ZNF512B",656.725481789282,-2.24273645760311,0.136149263391298,-16.4726301247579,5.77059690379634e-61,6.84868661918806e-59
"SCGB2B2",1.33819353182387,-2.24276919359291,0.386826690244073,-5.79786568547741,6.71642091715662e-09,1.92881436476418e-08
"ARC",70.2640508799391,-2.24291354984151,0.263326238063105,-8.51762272661944,1.62861731360027e-17,8.3969188320317e-17
"UCN",5.80438778936423,-2.2430645050054,0.252548390204113,-8.88172165022521,6.5833401741816e-19,3.75963522558394e-18
"C8orf82",153.783273784215,-2.24363926988746,0.132961722467623,-16.8743246420698,6.95154330670123e-64,1.03619373503817e-61
"AK097472",25.5007126770567,-2.24392930853754,0.223579039638114,-10.0364028406669,1.05449665677503e-23,8.40175160005099e-23
"ADCYAP1R1",69.3954616122454,-2.2441239978002,0.281839604898066,-7.96241535539987,1.68713022510982e-15,7.64274875130249e-15
"AC104135.2:ENSG00000236209",5.33418286136955,-2.24579187885688,0.480324091352165,-4.67557617719055,2.93129438433628e-06,6.83413778722177e-06
"MED16",526.901764979695,-2.24633039717869,0.151577362822733,-14.8196957338922,1.09278310094004e-49,5.57341637754386e-48
"ACACB",2668.89458336235,-2.24665709347538,0.255726491659786,-8.78539051192356,1.55822254798588e-18,8.65978895842487e-18
"BC033260",1.40708390585983,-2.24669422782598,0.551022375928254,-4.07731940838371,4.55578894253282e-05,9.55894987003827e-05
"C1orf95",317.490481518819,-2.24671178630586,0.230004675432754,-9.76811354846881,1.54298235626222e-22,1.13980425267016e-21
"RP11-24M17.4:ENSG00000260288",0.809918953549053,-2.24673067571504,0.64578643340322,-3.47906143502431,0.000503173220024953,0.000953064350341492
"LINC00477",7.69048725853933,-2.24726297886623,0.287030095951189,-7.82936357742912,4.90345733594092e-15,2.15576507385239e-14
"HSPG2",21189.1703493175,-2.24744077038488,0.194690267351123,-11.5436729373412,7.94583669384674e-31,1.03473553035523e-29
"LSP1",3289.91419946806,-2.24755817296606,0.14167134527765,-15.8645925791221,1.11438285453033e-56,9.33323593416339e-55
"SYCE1L",14.8865257455761,-2.24782086826111,0.270318745032137,-8.31544578232591,9.14080258444713e-17,4.49183630925677e-16
"TCF23",2.49544069633011,-2.24992208118157,0.394952059958132,-5.69669666090633,1.22150974949672e-08,3.43581345017376e-08
"CIDEC",511.736193928336,-2.25004877403211,0.61577255818614,-3.65402573420941,0.00025816037581513,0.000503767796396984
"LOC401052",37.3669972782112,-2.25017880109652,0.264906710463861,-8.49423103384728,1.99247625573947e-17,1.02203175739918e-16
"PCDHA7",12.4912485214454,-2.25049746866489,0.26304804505715,-8.5554616768809,1.17397925564236e-17,6.11837430172653e-17
"OR52B4",0.77683827021494,-2.25117497610709,0.608333807551883,-3.70055871983589,0.000215125290945575,0.000423652684480897
"CCNO",17.6171433752097,-2.25119541878633,0.248749129275506,-9.05006351315901,1.42885206534113e-19,8.55193915398482e-19
"LMOD1",867.343770480331,-2.25182053305099,0.281895603550954,-7.98813640470259,1.36993826481836e-15,6.24312903140699e-15
"PLXNA3",1342.66043811912,-2.25218149715194,0.164853173519872,-13.6617418340476,1.71823971413768e-42,4.94008713219699e-41
"PPP1R9B",2288.60173275015,-2.25240529198408,0.126078103424364,-17.865158428048,2.20305722911744e-71,6.4904657801834e-69
"PRDM16",142.09768469021,-2.25368241327084,0.237342809067262,-9.49547375009012,2.19212304728373e-21,1.49741258456299e-20
"RRP7B",418.161489633112,-2.25375302197097,0.148456303151807,-15.1812551850112,4.70687718651521e-52,2.8334042909787e-50
"SEMA3G",677.901232941152,-2.25382120198093,0.254283734872219,-8.8634108001973,7.76029889778193e-19,4.40665317456361e-18
"MAP2K7",435.746339823915,-2.25421822308879,0.119455427349393,-18.8707894911753,1.98313531781354e-79,1.24154186571717e-76
"EFHD1",134.738823538762,-2.25451684333673,0.264660274096599,-8.51853135508295,1.61589292577108e-17,8.33474575636652e-17
"LINC00638",32.2851653948302,-2.25453703070661,0.198486174923134,-11.3586602773705,6.71667520344438e-30,8.16499905071137e-29
"C15orf52",382.9335663371,-2.2564280764893,0.171806412132179,-13.1335498395328,2.11504449811753e-39,4.83698121660814e-38
"FZD9",5.96067230639397,-2.25739289351579,0.318650623140953,-7.08422557365358,1.39823994219479e-12,5.23389007958771e-12
"RP11-324E6.9:ENSG00000270134",3.65853768752066,-2.25815775979048,0.670178971434879,-3.36948465415989,0.000753088844563774,0.00139757305806774
"FOXL2",3.08098404943654,-2.25819801341345,0.521833165124744,-4.32743291215235,1.5085727305726e-05,3.3109271094653e-05
"ARHGEF1",1978.03242216462,-2.25839467570361,0.165250976310439,-13.6664528472196,1.61056882993968e-42,4.64118120130603e-41
"CBX6",1536.20964675556,-2.25882240329696,0.130567074182249,-17.3000920595343,4.69637847900299e-67,8.77662013964125e-65
"LOC100268168",5.42269231642113,-2.25959135420444,0.28364393607181,-7.96629529789201,1.63501971546735e-15,7.42010940825179e-15
"GRTP1",33.174581272905,-2.25996945590319,0.246251384600646,-9.17748933500721,4.4125915071986e-20,2.74261892586913e-19
"NSUN5P1",82.6743961018455,-2.25998591619454,0.164526854880321,-13.7362737398614,6.15637471838644e-43,1.82663430921603e-41
"LOC388942",0.703512067191997,-2.2608942846736,1.04389273700772,-2.16583007479712,0.0303241742526275,0.0453929088190746
"AX747795",66.1139133516873,-2.26117054054176,0.195419036645389,-11.570881626261,5.78847860339265e-31,7.63725401402312e-30
"NOTCH4",774.166141726582,-2.26174409575702,0.200877530810318,-11.2593184844188,2.08363828959758e-29,2.45314856831701e-28
"HSD52",2.3819891660191,-2.26174602823783,0.606675993967255,-3.72809547555611,0.000192932290137185,0.000381959871105652
"AMZ1",31.1644697009273,-2.26197150837765,0.263716817765223,-8.57727439435204,9.71476749692088e-18,5.08948133175508e-17
"PLEKHM1P",1960.06449069082,-2.26201650734822,0.160521568094821,-14.0916671460127,4.27352372705394e-45,1.51582976165559e-43
"P2RY2",285.91421824917,-2.26224190239564,0.245794494763167,-9.20379402547404,3.455292557472e-20,2.1647031785072e-19
"LINC00543:ENSG00000260704",0.732793361662899,-2.2637865985361,0.682799411137337,-3.31544896145314,0.000914960471860517,0.00168312937165438
"HPN",16.6849695808261,-2.26400016325464,0.25556453898865,-8.85881966337741,8.08660620171002e-19,4.58466815719317e-18
"AK095132",8.91289273475935,-2.26528337427311,0.305387702464448,-7.41772951560425,1.19145106780402e-13,4.79221292000453e-13
"CRNDE",4.12131796958308,-2.26602015631462,0.52059399038385,-4.35275896028652,1.3443493126504e-05,2.9608791105885e-05
"PACSIN3",134.541769124882,-2.26707507188116,0.325364728970413,-6.96779604554899,3.21944485688664e-12,1.17472443692489e-11
"BSN",106.152735582618,-2.26857094182808,0.207875139027256,-10.9131421508304,9.97478596245475e-28,1.04121963347975e-26
"ZNF732",21.367288062461,-2.26860969726661,0.332856943773507,-6.81556969053435,9.38909441878319e-12,3.3097086491437e-11
"ZC3H18",659.996076550253,-2.26964193685292,0.119558380673559,-18.9835453112227,2.33308477991263e-80,1.71838556054623e-77
"C15orf37",35.7293819614878,-2.27005925190905,0.201092850750467,-11.2886124167882,1.49376197854161e-29,1.77704453523226e-28
"LINC00896:ENSG00000236499",16.4173227947444,-2.27038091831,0.394632711553623,-5.75314932553811,8.7596045729332e-09,2.49185525065765e-08
"ABCA17P",16.8930402726102,-2.27041774393121,0.235717276588453,-9.63195306169775,5.86048322758614e-22,4.16217302850857e-21
"SMG7-AS1",8.90238627084331,-2.2709968558753,0.295912110906439,-7.67456542727762,1.65980388243964e-14,7.0448828515345e-14
"PTPRF",2211.28503350427,-2.27124857167801,0.205770609172381,-11.0377695863033,2.51191025500689e-28,2.74327329288628e-27
"IDUA",241.338502343111,-2.27158378111713,0.164272959304885,-13.8281053116061,1.72504519855681e-43,5.38635684068076e-42
"MROH1",997.312081913981,-2.27241661425108,0.152089851997353,-14.9412770438532,1.77539943751218e-50,9.68617706191287e-49
"FCN2",1.70109331935529,-2.27338456789383,0.616487042573338,-3.68764371495023,0.000226340263465483,0.000444375764618003
"C1orf35",127.63697637671,-2.27340914786161,0.129100087611072,-17.6096638656862,2.0767461710755e-69,5.00056515539159e-67
"NOVA2",31.6148726576883,-2.27435183593339,0.243170027194202,-9.35292832828048,8.5254009902536e-21,5.58589983249426e-20
"AK097289",100.74996477089,-2.27453933152925,0.186897322974358,-12.1699941729037,4.49114573936992e-34,7.24193635578245e-33
"HLX",187.20884323853,-2.27571090543026,0.14318847398777,-15.8931151513258,7.07238530427394e-57,6.00361602676705e-55
"RP11-798K3.2:ENSG00000259347",1.69823072441831,-2.27634513941062,0.69423478230003,-3.27892695302443,0.00104202604711638,0.00190317382188668
"GLYAT",68.6187544181587,-2.27723048443784,0.664570360525166,-3.42662059535472,0.000611142320227921,0.00114586897148455
"LRRN4CL",1031.85715998562,-2.27767301121439,0.182535036503725,-12.4780045236297,9.8422417812671e-36,1.79642433444964e-34
"LOC100131347",13.9166326287992,-2.27793614205889,0.214698424217971,-10.6099341453304,2.67937852717448e-26,2.54347979823743e-25
"RP11-395N3.2:ENSG00000272622",2.96190658339424,-2.27869729235349,0.433962886345134,-5.25090362345233,1.51354860791401e-07,3.92241376791706e-07
"HSPB7",371.137945440428,-2.27919193934819,0.476935382147096,-4.77882754071965,1.76320346551821e-06,4.19158355643696e-06
"LOC100131691",31.0767479952994,-2.2795786644511,0.181633633416873,-12.550421535747,3.95399493568501e-36,7.38924934174807e-35
"C10orf105",2007.82722457974,-2.28022126398246,0.282572283215711,-8.06951495041633,7.05779917124202e-16,3.2781075841927e-15
"LOC100630923",117.450426584932,-2.2809338500241,0.181499522626095,-12.5671617039072,3.20007294926531e-36,6.01171993964756e-35
"LOC100130015",6.01574236197468,-2.28184266401214,0.365759748075981,-6.23863800217329,4.41397120717599e-10,1.38636230992225e-09
